,Has Device Type,Has Device OS,Has Device OS Version,Includes Catalan,Includes Catalan Predictive Keyboard,Has Vendor,Has Name
Aparell:Magnum 2 — MyWigo,Mòbil,Android,5.1,verdader,Desconegut,MyWigo,Magnum 2
Aparell:Magnum — MyWigo,Mòbil,Android,4.4,verdader,No,MyWigo,MyWigo Magnum
Aparell:Moto 360 2a generació — Motorola,Portable,Android,Wear,fals,No,Motorola,Moto 360 2a generació
Aparell:Moto 360 Sport — Motorola,Portable,Android,,fals,No,Motorola,Moto 360 Sport
Aparell:Moto 360 — Motorola,Portable,Android,Wear,fals,No,Motorola,Moto 360
Aparell:Moto E 2a generació — Motorola,Mòbil,Android,5.0,fals,No,Motorola,Moto E 2a generació
Aparell:Moto E — Motorola,Mòbil,Android,4.4,fals,No,Motorola,Moto E
Aparell:Moto G - Motorola,Mòbil,Android,,fals,No,Motorola,Moto G
Aparell:Moto G 2a generació — Motorola,Mòbil,Android,4.4.4,fals,No,Motorola,Moto G 2a generació
Aparell:Moto G 3a generació — Motorola,Mòbil,Android,5.1.1,fals,No,Motorola,Moto G 3a generació
Aparell:Moto X - Motorola,Mòbil,Android,,fals,No,Motorola,Moto X
Aparell:Moto X 2a generació — Motorola,Mòbil,Android,4.4.4,fals,No,Motorola,Moto X 2a generació
Aparell:Moto X Play — Motorola,Mòbil,Android,5.1.1,fals,No,Motorola,Moto X Play
Aparell:Moto X Style — Motorola,Mòbil,Android,5.1.1,fals,No,Motorola,Moto X Style
Aparell:Nexus 4 - Google / LG,Mòbil,Android,4.2 o superior,verdader,No,Google / LG,Nexus 4
Aparell:Nexus 5 - Google / LG,Mòbil,Android,4.4 o superior,verdader,No,Google / LG,Nexus 5
Aparell:Nexus 6 — Google / Motorola,Mòbil,Android,5.1,verdader,No,Google / Motorola,Nexus 6
Aparell:Nexus One - Google / HTC,Mòbil,Android,2.3.6,verdader,No,Google / HTC,Nexus One
Aparell:Nexus S - Google / Samsung,Mòbil,Android,4.1.2,verdader,No,Google / Samsung,Nexus S
Aparell:Nokia 130 — Nokia,Mòbil,Altre,,fals,Desconegut,Nokia,Nokia 130
Aparell:Nokia Lumia 1020 - Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Nokia Lumia 1020
Aparell:Nokia Lumia 520 - Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Lumia 520
Aparell:Nokia Lumia 620 - Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Nokia Lumia 620
Aparell:Nokia Lumia 625 - Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Lumia 625
Aparell:Nokia Lumia 720 - Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Lumia 720
Aparell:Nokia Lumia 820 - Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Lumia 820
Aparell:Nokia Lumia 920 - Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Nokia Lumia 920
Aparell:Nokia Lumia 925 - Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Nokia Lumia 925
Aparell:Nolim — Carrefour,Lector de llibres electrònics,Altre,,verdader,Desconegut,Carrefour,Nolim
Aparell:Nolim+ — Carrefour,Lector de llibres electrònics,Altre,,verdader,Desconegut,Carrefour,Nolim+
Aparell:ONEPLUS ONE — Oneplus,Mòbil,Android,Cyanogen 11s,verdader,No,Oneplus,ONEPLUS ONE
Aparell:Peak - Geeksphone,Mòbil,Firefox OS,1.1.0,verdader,Sí,Geeksphone,Peak
Aparell:Peak+ - Geeksphone,Mòbil,Firefox OS,1.1.0,verdader,Sí,Geeksphone,Peak+
Aparell:Pebble Time — Pebble,Portable,Altre,3.0,fals,No s'aplica,Pebble Technology Corp.,Pebble Time
Aparell:Primux Delta 4 — Primux,Mòbil,Android,4.4,fals,No,Primux,Primux Delta 4
Aparell:Prixton Smartphone Linker C16 — Prixton,Mòbil,Android,4.2.2,fals,No,Prixton,Prixton Smartphone Linker C16
Aparell:Reader PRS-T2 — Sony,Lector de llibres electrònics,Altre,,fals,No,Sony,Reader PRS-T2
Aparell:Reader PRS-T3 — Sony,Lector de llibres electrònics,Altre,,fals,No,Sony,Reader PRS-T3
